HGNC Symbol,UniProt,IDG Family,Notes
CHRNA10,Q9GZZ6,IC,
CHRNA2,Q15822,IC,
CHRNB1,P11230,IC,
CHRND,Q07001,IC,
CLCA2,Q9UQC9,IC,
CLCA4,Q14CN2,IC,
CLCC1,Q96S66,IC,
CLCN6,P51797,IC,
CLCNKA,P51800,IC,
CLIC2,O15247,IC,
CLIC3,O95833,IC,
CLIC5,Q9NZA1,IC,
CLIC6,Q96NY7,IC,
CNGA4,Q8IV77,IC,
CALHM4,Q5JW98,IC,Changed symbol from FAM26D. CALHM4 is the current symbol according to HGNC.
CALHM5,Q8N5C1,IC,Changed symbol from FAM26E. CALHM5 is the current symbol according to HGNC.
CALHM6,Q5R3K3,IC,Changed symbol from FAM26F. CALHM6 is the current symbol according to HGNC.
FXYD3,Q14802,IC,
FXYD7,P58549,IC,
GABRA5,P31644,IC,
GABRG1,Q8N1C3,IC,
GABRP,O00591,IC,
GABRR1,P24046,IC,
GLRA3,O75311,IC,
GLRA4,Q5JXX5,IC,
GLRB,P48167,IC,
GPR89A,B7ZAQ6,IC,
GPR89B,P0CG08,IC,
GRID1,Q9ULK0,IC,
GRIK3,Q13003,IC,
HTR3C,Q8WXA8,IC,
HTR3D,Q70Z44,IC,
HTR3E,A5X5Y0,IC,
KCNA6,P17658,IC,
KCNA7,Q96RP8,IC,
KCNAB2,Q13303,IC,
KCNAB3,O43448,IC,
KCNC4,Q03721,IC,
KCND1,Q9NSA2,IC,
KCNG2,Q9UJ96,IC,
KCNG3,Q8TAE7,IC,
KCNG4,Q8TDN1,IC,
KCNH4,Q9UQ05,IC,
KCNH6,Q9H252,IC,
KCNH8,Q96L42,IC,
KCNIP1,Q9NZI2,IC,
KCNIP4,Q6PIL6,IC,
KCNJ14,Q9UNX9,IC,
KCNJ15,Q99712,IC,
KCNJ18,B7U540,IC,
KCNK12,Q9HB15,IC,
KCNK4,Q9NYG8,IC,
KCNK7,Q9Y2U2,IC,
KCNMB3,Q9NPA1,IC,
KCNMB4,Q86W47,IC,
KCNN1,Q92952,IC,
KCNS1,Q96KK3,IC,
KCNS2,Q9ULS6,IC,
KCNS3,Q9BQ31,IC,
KCNT1,Q5JUK3,IC,
KCNT2,Q6UVM3,IC,
KCNV1,Q6PIU1,IC,
LRRC38,Q5VT99,IC,
LRRC55,Q6ZSA7,IC,
PANX2,Q96RD6,IC,
PKD1L2,Q7Z442,IC,
PKD1L3,Q7Z443,IC,
PKD2L2,Q9NZM6,IC,
PLLP,Q9Y342,IC,
SCN2B,O60939,IC,
SCN3B,Q9NY72,IC,
SCN7A,Q01118,IC,
SCNN1B,P51168,IC,
SCNN1D,P51172,IC,
SLC26A1,Q9H2B4,IC,
TMC3,Q7Z5M5,IC,
TMC4,Q7Z404,IC,
TMC5,Q6UXY8,IC,
TMC7,Q7Z402,IC,
TMEM38B,Q9NVV0,IC,
TMEM63A,O94886,IC,
TMEM63B,Q5T3F8,IC,
TMEM63C,Q9P1W3,IC,
TTYH1,Q9H313,IC,
TTYH2,Q9BSA4,IC,
ADCK1,Q86TW2,Kinase,
BRSK1,Q8TDC3,Kinase,
BRSK2,Q8IWQ3,Kinase,
CAMKK2,Q96RR4,Kinase,
CDC42BPA,Q5VT25,Kinase,
CDK11A,Q9UQ88,Kinase,
CDK12,Q9NYV4,Kinase,
CDK13,Q14004,Kinase,
CDK16,Q00536,Kinase,
CDK19,Q9BWU1,Kinase,
CDK20,Q8IZL9,Kinase,
CDKL5,O76039,Kinase,
COQ8A,Q8NI60,Kinase,
CSNK1A1L,Q8N752,Kinase,
CSNK2A3,Q8NEV1,Kinase,
DCLK3,Q9C098,Kinase,
DSTYK,Q6XUX3,Kinase,
HIPK1,Q86Z02,Kinase,
HIPK3,Q9H422,Kinase,
ICK,Q9UPZ9,Kinase,
LMTK2,Q8IWU2,Kinase,
MAP3K15,Q6ZN16,Kinase,
MAP3K21,Q5TCX8,Kinase,
MARK1,Q9P0L2,Kinase,
MARK3,P27448,Kinase,
MKNK1,Q9BUB5,Kinase,
NEK1,Q96PY6,Kinase,
NEK3,P51956,Kinase,
NEK8,Q86SG6,Kinase,
NEK9,Q8TD19,Kinase,
NUAK2,Q9H093,Kinase,
OBSCN,Q5VST9,Kinase,
PAN3,Q58A45,Kinase,
PIP5K1C,O60331,Kinase,
RIOK2,Q9BVS4,Kinase,
RNASEL,Q05823,Kinase,
SBK1,Q52WX2,Kinase,
STK17B,O94768,Kinase,
STK19,P49842,Kinase,
TAOK1,Q7L7X3,Kinase,
TAOK2,Q9UL54,Kinase,
TSSK2,Q96PF2,Kinase,
VRK3,Q8IV63,Kinase,
WNK3,Q9BYP7,Kinase,
ADCK2,Q7Z695,Kinase,
ADCK5,Q3MIX3,Kinase,
ALPK2,Q86TB3,Kinase,
ALPK3,Q96L96,Kinase,
BCKDK,O14874,Kinase,
CAMK1D,Q8IU85,Kinase,
CAMK1G,Q96NX5,Kinase,
CAMKK1,Q8N5S9,Kinase,
CAMKV,Q8NCB2,Kinase,
CDC42BPB,Q9Y5S2,Kinase,
CDC42BPG,Q6DT37,Kinase,
CDK10,Q15131,Kinase,
CDK11B,P21127,Kinase,
CDK14,O94921,Kinase,
CDK15,Q96Q40,Kinase,
CDK17,Q00537,Kinase,
CDK18,Q07002,Kinase,
CDKL1,Q00532,Kinase,
CDKL2,Q92772,Kinase,
CDKL3,Q8IVW4,Kinase,
CDKL4,Q5MAI5,Kinase,
CLK3,P49761,Kinase,
CLK4,Q9HAZ1,Kinase,
COQ8B,Q96D53,Kinase,
CSNK1G1,Q9HCP0,Kinase,
CSNK1G2,P78368,Kinase,
CSNK1G3,Q9Y6M4,Kinase,
CSNK2A2,P19784,Kinase,
DYRK1B,Q9Y463,Kinase,
DYRK2,Q92630,Kinase,
DYRK3,O43781,Kinase,
DYRK4,Q9NR20,Kinase,
EEF2K,O00418,Kinase,
ERN2,Q76MJ5,Kinase,
HIPK4,Q8NE63,Kinase,
LMTK3,Q96Q04,Kinase,
LRRK1,Q38SD2,Kinase,
LTK,P29376,Kinase,
MAP3K10,Q02779,Kinase,
MAP3K14,Q99558,Kinase,
MAPK15,Q8TD08,Kinase,
MAPK4,P31152,Kinase,
MARK4,Q96L34,Kinase,
MAST2,Q6P0Q8,Kinase,
MAST3,O60307,Kinase,
MAST4,O15021,Kinase,
MKNK2,Q9HBH9,Kinase,
NEK10,Q6ZWH5,Kinase,
NEK11,Q8NG66,Kinase,
NEK4,P51957,Kinase,
NEK5,Q6P3R8,Kinase,
NEK6,Q9HC98,Kinase,
NEK7,Q8TDX7,Kinase,
NIM1K,Q8IY84,Kinase,
NRBP2,Q9NSY0,Kinase,
NRK,Q7Z2Y5,Kinase,
PAK3,O75914,Kinase,
PAK5,Q9P286,Kinase,
PAK6,Q9NQU5,Kinase,
PDIK1L,Q8N165,Kinase,
PHKG1,Q16816,Kinase,
PHKG2,P15735,Kinase,
PI4KA,P42356,Kinase,
PIK3C2B,O00750,Kinase,
PIK3C2G,O75747,Kinase,
PIP4K2C,Q8TBX8,Kinase,
PIP5K1A,Q99755,Kinase,
PIP5K1B,O14986,Kinase,
PKMYT1,Q99640,Kinase,
PKN3,Q6P5Z2,Kinase,
PNCK,Q6P2M8,Kinase,
POMK,Q9H5K3,Kinase,
PRAG1,Q86YV5,Kinase,
PRKACB,P22694,Kinase,
PRKACG,P22612,Kinase,
PRKCQ,Q04759,Kinase,
PRPF4B,Q13523,Kinase,
PSKH1,P11801,Kinase,
PSKH2,Q96QS6,Kinase,
PXK,Q7Z7A4,Kinase,
RIOK1,Q9BRS2,Kinase,
RIOK3,O14730,Kinase,
RPS6KC1,Q96S38,Kinase,
RPS6KL1,Q9Y6S9,Kinase,
SBK2,P0C263,Kinase,
SBK3,P0C264,Kinase,
SCYL1,Q96KG9,Kinase,
SCYL2,Q6P3W7,Kinase,
SCYL3,Q8IZE3,Kinase,
SGK494,Q96LW2,Kinase,
SRPK3,Q9UPE1,Kinase,
STK17A,Q9UEE5,Kinase,
STK3,Q13188,Kinase,
STK31,Q9BXU1,Kinase,
STK32A,Q8WU08,Kinase,
STK32B,Q9NY57,Kinase,
STK32C,Q86UX6,Kinase,
STK33,Q9BYT3,Kinase,
STK36,Q9NRP7,Kinase,
STK38L,Q9Y2H1,Kinase,
STK40,Q8N2I9,Kinase,
STKLD1,Q8NE28,Kinase,
TBCK,Q8TEA7,Kinase,
TESK1,Q15569,Kinase,
TESK2,Q96S53,Kinase,
TLK1,Q9UKI8,Kinase,
TLK2,Q86UE8,Kinase,
TP53RK,Q96S44,Kinase,
TSSK1B,Q9BXA7,Kinase,
TSSK3,Q96PN8,Kinase,
TSSK4,Q6SA08,Kinase,
TSSK6,Q9BXA6,Kinase,
TTBK1,Q5TCY1,Kinase,
TTBK2,Q6IQ55,Kinase,
ULK4,Q96C45,Kinase,
VRK2,Q86Y07,Kinase,
WEE2,P0C1S8,Kinase,
WNK2,Q9Y3S1,Kinase,
